idx,class,sex,age,sibs,par/ch,fare,deck,embarked,survived
0,2,1,22.0,1,0,7.25,0,2,0
1,0,0,38.0,1,0,71.2833,3,0,1
2,2,0,26.0,0,0,7.925,0,2,1
3,0,0,35.0,1,0,53.1,3,2,1
4,2,1,35.0,0,0,8.05,0,2,0
5,2,1,29.881137667304014,0,0,8.4583,0,1,0
6,0,1,54.0,0,0,51.8625,5,2,0
7,2,1,2.0,3,1,21.075,0,2,0
8,2,0,27.0,0,2,11.1333,0,2,1
9,1,0,14.0,1,0,30.0708,0,0,1
10,2,0,4.0,1,1,16.7,7,2,1
11,0,0,58.0,0,0,26.55,3,2,1
12,2,1,20.0,0,0,8.05,0,2,0
13,2,1,39.0,1,5,31.275,0,2,0
14,2,0,14.0,0,0,7.8542,0,2,0
15,1,0,55.0,0,0,16.0,0,2,1
16,2,1,2.0,4,1,29.125,0,1,0
17,1,1,29.881137667304014,0,0,13.0,0,2,1
18,2,0,31.0,1,0,18.0,0,2,0
19,2,0,29.881137667304014,0,0,7.225,0,0,1
20,1,1,35.0,0,0,26.0,0,2,0
21,1,1,34.0,0,0,13.0,4,2,1
22,2,0,15.0,0,0,8.0292,0,1,1
23,0,1,28.0,0,0,35.5,1,2,1
24,2,0,8.0,3,1,21.075,0,2,0
25,2,0,38.0,1,5,31.3875,0,2,1
26,2,1,29.881137667304014,0,0,7.225,0,0,0
27,0,1,19.0,3,2,263.0,3,2,0
28,2,0,29.881137667304014,0,0,7.8792,0,1,1
29,2,1,29.881137667304014,0,0,7.8958,0,2,0
30,0,1,40.0,0,0,27.7208,0,0,0
31,0,0,29.881137667304014,1,0,146.5208,2,0,1
32,2,0,29.881137667304014,0,0,7.75,0,1,1
33,1,1,66.0,0,0,10.5,0,2,0
34,0,1,28.0,1,0,82.1708,0,0,0
35,0,1,42.0,1,0,52.0,0,2,0
36,2,1,29.881137667304014,0,0,7.2292,0,0,1
37,2,1,21.0,0,0,8.05,0,2,0
38,2,0,18.0,2,0,18.0,0,2,0
39,2,0,14.0,1,0,11.2417,0,0,1
40,2,0,40.0,1,0,9.475,0,2,0
41,1,0,27.0,1,0,21.0,0,2,0
42,2,1,29.881137667304014,0,0,7.8958,0,0,0
43,1,0,3.0,1,2,41.5792,0,0,1
44,2,0,19.0,0,0,7.8792,0,1,1
45,2,1,29.881137667304014,0,0,8.05,0,2,0
46,2,1,29.881137667304014,1,0,15.5,0,1,0
47,2,0,29.881137667304014,0,0,7.75,0,1,1
48,2,1,29.881137667304014,2,0,21.6792,0,0,0
49,2,0,18.0,1,0,17.8,0,2,0
50,2,1,7.0,4,1,39.6875,0,2,0
51,2,1,21.0,0,0,7.8,0,2,0
52,0,0,49.0,1,0,76.7292,4,0,1
53,1,0,29.0,1,0,26.0,0,2,1
54,0,1,65.0,0,1,61.9792,2,0,0
55,0,1,29.881137667304014,0,0,35.5,3,2,1
56,1,0,21.0,0,0,10.5,0,2,1
57,2,1,28.5,0,0,7.2292,0,0,0
58,1,0,5.0,1,2,27.75,0,2,1
59,2,1,11.0,5,2,46.9,0,2,0
60,2,1,22.0,0,0,7.2292,0,0,0
61,0,0,38.0,0,0,80.0,2,2,1
62,0,1,45.0,1,0,83.475,3,2,0
63,2,1,4.0,3,2,27.9,0,2,0
64,0,1,29.881137667304014,0,0,27.7208,0,0,0
65,2,1,29.881137667304014,1,1,15.2458,0,0,1
66,1,0,29.0,0,0,10.5,6,2,1
67,2,1,19.0,0,0,8.1583,0,2,0
68,2,0,17.0,4,2,7.925,0,2,1
69,2,1,26.0,2,0,8.6625,0,2,0
70,1,1,32.0,0,0,10.5,0,2,0
71,2,0,16.0,5,2,46.9,0,2,0
72,1,1,21.0,0,0,73.5,0,2,0
73,2,1,26.0,1,0,14.4542,0,0,0
74,2,1,32.0,0,0,56.4958,0,2,1
75,2,1,25.0,0,0,7.65,7,2,0
76,2,1,29.881137667304014,0,0,7.8958,0,2,0
77,2,1,29.881137667304014,0,0,8.05,0,2,0
78,1,1,0.83,0,2,29.0,0,2,1
79,2,0,30.0,0,0,12.475,0,2,1
80,2,1,22.0,0,0,9.0,0,2,0
81,2,1,29.0,0,0,9.5,0,2,1
82,2,0,29.881137667304014,0,0,7.7875,0,1,1
83,0,1,28.0,0,0,47.1,0,2,0
84,1,0,17.0,0,0,10.5,0,2,1
85,2,0,33.0,3,0,15.85,0,2,1
86,2,1,16.0,1,3,34.375,0,2,0
87,2,1,29.881137667304014,0,0,8.05,0,2,0
88,0,0,23.0,3,2,263.0,3,2,1
89,2,1,24.0,0,0,8.05,0,2,0
90,2,1,29.0,0,0,8.05,0,2,0
91,2,1,20.0,0,0,7.8542,0,2,0
92,0,1,46.0,1,0,61.175,5,2,0
93,2,1,26.0,1,2,20.575,0,2,0
94,2,1,59.0,0,0,7.25,0,2,0
95,2,1,29.881137667304014,0,0,8.05,0,2,0
96,0,1,71.0,0,0,34.6542,1,0,0
97,0,1,23.0,0,1,63.3583,4,0,1
98,1,0,34.0,0,1,23.0,0,2,1
99,1,1,34.0,1,0,26.0,0,2,0
100,2,0,28.0,0,0,7.8958,0,2,0
101,2,1,29.881137667304014,0,0,7.8958,0,2,0
102,0,1,21.0,0,1,77.2875,4,2,0
103,2,1,33.0,0,0,8.6542,0,2,0
104,2,1,37.0,2,0,7.925,0,2,0
105,2,1,28.0,0,0,7.8958,0,2,0
106,2,0,21.0,0,0,7.65,0,2,1
107,2,1,29.881137667304014,0,0,7.775,0,2,1
108,2,1,38.0,0,0,7.8958,0,2,0
109,2,0,29.881137667304014,1,0,24.15,0,1,1
110,0,1,47.0,0,0,52.0,3,2,0
111,2,0,14.5,1,0,14.4542,0,0,0
112,2,1,22.0,0,0,8.05,0,2,0
113,2,0,20.0,1,0,9.825,0,2,0
114,2,0,17.0,0,0,14.4583,0,0,0
115,2,1,21.0,0,0,7.925,0,2,0
116,2,1,70.5,0,0,7.75,0,1,0
117,1,1,29.0,1,0,21.0,0,2,0
118,0,1,24.0,0,1,247.5208,2,0,0
119,2,0,2.0,4,2,31.275,0,2,0
120,1,1,21.0,2,0,73.5,0,2,0
121,2,1,29.881137667304014,0,0,8.05,0,2,0
122,1,1,32.5,1,0,30.0708,0,0,0
123,1,0,32.5,0,0,13.0,5,2,1
124,0,1,54.0,0,1,77.2875,4,2,0
125,2,1,12.0,1,0,11.2417,0,0,1
126,2,1,29.881137667304014,0,0,7.75,0,1,0
127,2,1,24.0,0,0,7.1417,0,2,1
128,2,0,29.881137667304014,1,1,22.3583,5,0,1
129,2,1,45.0,0,0,6.975,0,2,0
130,2,1,33.0,0,0,7.8958,0,0,0
131,2,1,20.0,0,0,7.05,0,2,0
132,2,0,47.0,1,0,14.5,0,2,0
133,1,0,29.0,1,0,26.0,0,2,1
134,1,1,25.0,0,0,13.0,0,2,0
135,1,1,23.0,0,0,15.0458,0,0,0
136,0,0,19.0,0,2,26.2833,4,2,1
137,0,1,37.0,1,0,53.1,3,2,0
138,2,1,16.0,0,0,9.2167,0,2,0
139,0,1,24.0,0,0,79.2,2,0,0
140,2,0,29.881137667304014,0,2,15.2458,0,0,0
141,2,0,22.0,0,0,7.75,0,2,1
142,2,0,24.0,1,0,15.85,0,2,1
143,2,1,19.0,0,0,6.75,0,1,0
144,1,1,18.0,0,0,11.5,0,2,0
145,1,1,19.0,1,1,36.75,0,2,0
146,2,1,27.0,0,0,7.7958,0,2,1
147,2,0,9.0,2,2,34.375,0,2,0
148,1,1,36.5,0,2,26.0,6,2,0
149,1,1,42.0,0,0,13.0,0,2,0
150,1,1,51.0,0,0,12.525,0,2,0
151,0,0,22.0,1,0,66.6,3,2,1
152,2,1,55.5,0,0,8.05,0,2,0
153,2,1,40.5,0,2,14.5,0,2,0
154,2,1,29.881137667304014,0,0,7.3125,0,2,0
155,0,1,51.0,0,1,61.3792,0,0,0
156,2,0,16.0,0,0,7.7333,0,1,1
157,2,1,30.0,0,0,8.05,0,2,0
158,2,1,29.881137667304014,0,0,8.6625,0,2,0
159,2,1,29.881137667304014,8,2,69.55,0,2,0
160,2,1,44.0,0,1,16.1,0,2,0
161,1,0,40.0,0,0,15.75,0,2,1
162,2,1,26.0,0,0,7.775,0,2,0
163,2,1,17.0,0,0,8.6625,0,2,0
164,2,1,1.0,4,1,39.6875,0,2,0
165,2,1,9.0,0,2,20.525,0,2,1
166,0,0,29.881137667304014,0,1,55.0,5,2,1
167,2,0,45.0,1,4,27.9,0,2,0
168,0,1,29.881137667304014,0,0,25.925,0,2,0
169,2,1,28.0,0,0,56.4958,0,2,0
170,0,1,61.0,0,0,33.5,2,2,0
171,2,1,4.0,4,1,29.125,0,1,0
172,2,0,1.0,1,1,11.1333,0,2,1
173,2,1,21.0,0,0,7.925,0,2,0
174,0,1,56.0,0,0,30.6958,1,0,0
175,2,1,18.0,1,1,7.8542,0,2,0
176,2,1,29.881137667304014,3,1,25.4667,0,2,0
177,0,0,50.0,0,0,28.7125,3,0,0
178,1,1,30.0,0,0,13.0,0,2,0
179,2,1,36.0,0,0,0.0,0,2,0
180,2,0,29.881137667304014,8,2,69.55,0,2,0
181,1,1,29.881137667304014,0,0,15.05,0,0,0
182,2,1,9.0,4,2,31.3875,0,2,0
183,1,1,1.0,2,1,39.0,6,2,1
184,2,0,4.0,0,2,22.025,0,2,1
185,0,1,29.881137667304014,0,0,50.0,1,2,0
186,2,0,29.881137667304014,1,0,15.5,0,1,1
187,0,1,45.0,0,0,26.55,0,2,1
188,2,1,40.0,1,1,15.5,0,1,0
189,2,1,36.0,0,0,7.8958,0,2,0
